GENERATION 20200519_104235_g1
[5, [36.0, 28.0, 10.0, 15.0, 3.0, 19.0, 6.0, 164.0, 6.0, 81.0], [9.6103, 1.8497, 1.239, 3.7014, 9.8052, 0.3639], 0, 6]
[5, [43.0, 8.0, 6.0, 18.0, 0.0, 24.0, 4.0, 148.0, 60.0, 0.0], [1.8032, 5.0364, 0.3938, 2.5992, 2.2083, 6.4693], 0, 8]
[5, [25.0, 27.0, 23.0, 10.0, 26.0, 14.0, 6.0, 43.0, 6.0, 137.0], [0.5805, 6.762, 8.4542, 9.1848, 1.6942, 6.7264], 0, 1]
[5, [28.8527, 13.8059, 10.9908, 32.1124, 26.5991, 25.8189, 0.5719, 50.0, 50.0, 50.0], [1.4635, 1.9797, 3.7803, 2.0723, 0.421, 9.4796], 0, 3]
[5, [35.9473, 27.3575, 9.9966, 15.6219, 3.0663, 19.0495, 5.9734, 50.0, 3.2596, 50.0], [8.4395, 3.3059, 1.6069, 0.3942, 2.2509, 0.4063], 0, 5]
[5, [35.9888, 28.0123, 10.049, 14.9407, 2.6475, 19.1921, 6.0, 50.0, 6.0, 50.0], [6.5698, 0.0024, 1.8197, 3.8857, 5.8639, 8.5132], 0, 4]
[5, [28.9048, 15.4358, 11.0057, 32.012, 27.9613, 25.9978, 0.9867, 50.0, 50.0, 50.0], [1.2732, 2.8709, 8.2994, 4.0807, 8.1004, 0.6226], 0, 2]
[5, [27.0952, 28.5642, 11.9943, 18.988, 13.0387, 22.0022, 4.0133, 50.0, 50.0, 32.5418], [6.1177, 3.8668, 0.4703, 6.7354, 1.5137, 9.8671], 0, 7]
[5, [29.0, 14.0, 11.0, 32.0, 28.0, 26.0, 1.0, 110.0, 92.0, 107.0], [0.8347, 7.2555, 9.8682, 8.1241, 1.88, 9.9942], 1, 1]
[5, [35.0527, 1.6425, 13.0034, 28.3781, 15.9337, 23.9505, 0.0266, 50.0, 50.0, 50.0], [2.5688, 7.8417, 8.4233, 8.9901, 8.1812, 0.3547], 1, 2]
GENERATION 20200519_104235_g2
[5, [36.0, 28.0, 10.0, 15.0, 3.0, 19.0, 6.0, 164.0, 6.0, 81.0], [9.6103, 1.8497, 1.239, 3.7014, 9.8052, 0.3639], 0, 6]
[5, [43.0, 8.0, 6.0, 18.0, 0.0, 24.0, 4.0, 148.0, 60.0, 0.0], [1.8032, 5.0364, 0.3938, 2.5992, 2.2083, 6.4693], 0, 8]
[5, [25.0, 27.0, 23.0, 10.0, 26.0, 14.0, 6.0, 43.0, 6.0, 137.0], [0.5805, 6.762, 8.4542, 9.1848, 1.6942, 6.7264], 0, 1]
[5, [28.8527, 13.8059, 10.9908, 32.1124, 26.5991, 25.8189, 0.5719, 50.0, 50.0, 50.0], [1.4635, 1.9797, 3.7803, 2.0723, 0.421, 9.4796], 0, 3]
[5, [35.9473, 27.3575, 9.9966, 15.6219, 3.0663, 19.0495, 5.9734, 50.0, 3.2596, 50.0], [8.4395, 3.3059, 1.6069, 0.3942, 2.2509, 0.4063], 0, 5]
[5, [35.9888, 28.0123, 10.049, 14.9407, 2.6475, 19.1921, 6.0, 50.0, 6.0, 50.0], [6.5698, 0.0024, 1.8197, 3.8857, 5.8639, 8.5132], 0, 4]
[5, [27.0952, 28.5642, 11.9943, 18.988, 13.0387, 22.0022, 4.0133, 50.0, 50.0, 32.5418], [6.1177, 3.8668, 0.4703, 6.7354, 1.5137, 9.8671], 0, 7]
[5, [28.853, 14.6038, 10.9483, 32.8654, 27.9831, 26.273, 0.7234, 50.0, 50.0, 50.0], [0.7792, 0.7321, 4.2023, 4.1979, 0.4626, 1.3223], 0, 2]
[5, [35.9698, 28.1536, 10.1089, 14.1663, 0.9906, 19.0953, 5.7885, 50.0, 6.3436, 50.0], [6.9899, 6.1874, 0.0778, 6.373, 4.8329, 2.0364], 0, 9]
[5, [29.0, 14.0, 11.0, 32.0, 28.0, 26.0, 1.0, 110.0, 92.0, 107.0], [0.8347, 7.2555, 9.8682, 8.1241, 1.88, 9.9942], 1, 1]
GENERATION 20200519_104235_g3
[5, [36.0, 28.0, 10.0, 15.0, 3.0, 19.0, 6.0, 164.0, 6.0, 81.0], [9.6103, 1.8497, 1.239, 3.7014, 9.8052, 0.3639], 0, 6]
